Name,Overall,Position,Alt Pos,Club,League,Nation,Card Type
Alisson,90,GK,,Liverpool,Premier League,Brazil,Rare Gold
Trent,87,RB,CM,Liverpool,Premier League,England,TOTS
Van Dijk,90,CB,,Liverpool,Premier League,Netherlands,Rare Gold
Virgil2,89,CB,,Liverpool,Premier League,Netherlands,Rare Gold
Robertson,86,LB,,Liverpool,Premier League,Scotland,Rare Gold
De Bruyne,91,CAM,CM,Manchester City,Premier League,Belgium,Hero
Bellingham,91,CAM,CM,Real Madrid,La Liga,England,TOTY
Haaland,94,ST,,Manchester City,Premier League,Norway,TOTY
Mbappe,93,ST,LW,Real Madrid,La Liga,France,TOTY
Vinicius Jr,92,LW,ST,Real Madrid,La Liga,Brazil,TOTS
Salah,90,RW,ST,Liverpool,Premier League,Egypt,TOTS
Courtois,90,GK,,Real Madrid,La Liga,Belgium,Rare Gold
Ter Stegen,89,GK,,FC Barcelona,La Liga,Germany,Rare Gold
Alaba,87,CB,LB,Real Madrid,La Liga,Austria,Rare Gold
Militao,87,CB,,Real Madrid,La Liga,Brazil,Rare Gold
Carvajal,85,RB,,Real Madrid,La Liga,Spain,Rare Gold
Mendy,84,LB,,Real Madrid,La Liga,France,Rare Gold
Valverde,87,CM,CDM,Real Madrid,La Liga,Uruguay,Rare Gold
Camavinga,84,CM,CDM,Real Madrid,La Liga,France,Rare Gold
Rodrygo,86,RW,ST,Real Madrid,La Liga,Brazil,Rare Gold
Tchouameni,85,CDM,CM,Real Madrid,La Liga,France,Rare Gold
Modric,86,CM,,Real Madrid,La Liga,Croatia,Hero
Messi,91,RW,CAM,Inter Miami,MLS,Argentina,Icon
Ronaldo,91,ST,CF,Al-Nassr,Saudi Pro League,Portugal,Icon
Neymar,88,LW,CAM,Al-Hilal,Saudi Pro League,Brazil,Icon
Dias,88,CB,,Manchester City,Premier League,Portugal,Rare Gold
Stones,84,CB,CDM,Manchester City,Premier League,England,Rare Gold
Foden,87,CM,CAM,Manchester City,Premier League,England,TOTS
Walker,84,RB,RWB,Manchester City,Premier League,England,Rare Gold
Grealish,83,LW,CAM,Manchester City,Premier League,England,Rare Gold
Silva,85,CM,CDM,Manchester City,Premier League,Portugal,Rare Gold
Pedri,87,CM,CAM,FC Barcelona,La Liga,Spain,Rare Gold
Lewandowski,88,ST,CF,FC Barcelona,La Liga,Poland,Rare Gold
Kante,86,CDM,CM,Al-Ittihad,Saudi Pro League,France,Hero
Benzema,90,ST,CF,Al-Ittihad,Saudi Pro League,France,Hero
Lloris,85,GK,,Tottenham,Premier League,France,Rare Gold
Rudiger,84,CB,,Real Madrid,La Liga,Germany,Rare Gold
Brahim Diaz,83,CAM,RW,Real Madrid,La Liga,Spain,Rare Gold
Joselu,80,ST,,Real Madrid,La Liga,Spain,Rare Gold
Lunin,82,GK,,Real Madrid,La Liga,Ukraine,Rare Gold
Henderson,80,CDM,CM,Al-Ettifaq,Saudi Pro League,England,Rare Gold
Ozil,85,CAM,CM,Retired,Bundesliga,Germany,Icon
